uid,date,time,title,dest,location,MoreInfo
1,1206,1100,桃園機場→關西機場→Millennials,交通,桃園捷運：台北→桃園國際機場第二航廈,"兩小時前開放櫃台,早點到可以逛免稅"
2,1206,1220,桃園機場→關西機場→Millennials,報到,桃園國際機場第二航廈,領取【大阪周遊卡】&【網路卡】
3,1206,1420,桃園機場→關西機場→Millennials,交通 180min,中華航空-CI172,飛航前40分鐘需到登機口等候
4,1206,1750,桃園機場→關西機場→Millennials,入境,日本關西國際機場T1,"1.領取【關西交通ICOCA卡】
大阪關西國際機場 JTR櫃台窗口
2.領取【利木津巴士車票】
大阪關西國際機場HIS櫃台窗口
→櫃檯位置：第一航廈1樓．國際線入境北口
→開放時間：0830-2200
→櫃檯電話：080-4011-8818"
5,1206,1900,桃園機場→關西機場→Millennials,交通 120min,京都市區利木津巴士車票：三條京阪or京都市役所前,
6,1206,2200,桃園機場→關西機場→Millennials,抵達民宿,京都Millennials旅館 (The Millennials Kyoto),
7,1207,0700,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,起床換洗,京都Millennials旅館 (The Millennials Kyoto),
8,1207,0800,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,民宿早餐,京都Millennials旅館 (The Millennials Kyoto),早餐時間0730-0930
9,1207,0900,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,和服更換,江戶和裝工房 雅,出示優惠頁面
10,1207,1000,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,交通 20min,"京阪電鐵/京阪本線：祉園四条站→伏見稻荷站(14min)
走路：伏見稻荷站→伏見稻荷大社(5min)","領取【京阪電鐵二日券】
京阪電鐵二日券-京阪本線"
11,1207,1030,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,景點+午餐,伏見稻荷大社千鳥居、伏見稻荷大社商店街,伏見稻荷商店街(參考美食：鐵板日式炒麵、糯米糰子(燒だんご)、章魚燒）、藍瓶咖啡
12,1207,1230,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,交通 25min,"京阪本線：伏見稻荷站→清水五条站(7min)
四條山科醒醐線84：Gojokeihan→Ikedamachi(3min)
走路：Ikedamachi→清水寺(12min)",京阪電鐵二日券-京阪本線、四條山科醒醐線84(3個停靠站)
13,1207,1320,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,景點,清水寺→三年坂→二年坂(法觀寺)→一年坂→石塀小路,這條路可以慢慢走慢慢逛慢慢拍，也有幾間小吃
14,1207,1530,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,景點,石塀小路→圓山公園→八坂神社→花見小路,這條路可以慢慢走慢慢逛慢慢拍，也有幾間小吃
15,1207,1700,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,衣服更換,江戶和裝工房 雅,營業時間0900-1800
16,1207,1800,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,民宿暢飲,京都Millennials旅館 (The Millennials Kyoto),暢飲時間1730-1830
17,1207,1830,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,晚餐,一蘭拉麵 京都河原町店,
18,1207,2000,京都：江戶和裝工房雅→伏見稻荷大社→清水寺→八坂神社→一蘭拉麵,自由時間,自由時間,
